Main_Source_of_Income,Education_Expenditure,Household_Head_Sex,Household_Head_Age,Total_members_employed
Enterpreneurial Activities,1309,Male,38,1
Wage/Salaries,0,Female,49,2
Enterpreneurial Activities,1906,Male,48,1
Wage/Salaries,1620,Male,37,1
Enterpreneurial Activities,2954,Male,40,1
Other sources of Income,0,Male,67,0
Other sources of Income,25679,Female,42,0
Other sources of Income,1020,Male,73,1
Wage/Salaries,290,Male,54,4
Enterpreneurial Activities,1339,Female,49,1
Enterpreneurial Activities,16500,Male,44,1
Enterpreneurial Activities,2775,Female,44,2
Enterpreneurial Activities,149862,Male,46,1
Other sources of Income,300,Male,67,0
Enterpreneurial Activities,440,Male,61,1
Other sources of Income,0,Female,66,0
Other sources of Income,0,Female,64,0
Enterpreneurial Activities,4900,Male,38,1
Other sources of Income,0,Female,48,1
Wage/Salaries,0,Male,60,3
Wage/Salaries,11198,Male,41,2
Other sources of Income,18900,Male,83,1
Other sources of Income,0,Male,43,1
Wage/Salaries,30000,Male,51,4
Other sources of Income,1425,Female,30,1
Wage/Salaries,1180,Male,30,1
Enterpreneurial Activities,944,Male,58,1
Wage/Salaries,1980,Female,74,1
Wage/Salaries,6409,Male,50,1
Enterpreneurial Activities,0,Male,70,1
Wage/Salaries,0,Male,64,0
Other sources of Income,0,Male,54,1
Wage/Salaries,0,Male,44,1
Enterpreneurial Activities,4303,Female,57,0
Wage/Salaries,450,Male,70,3
Enterpreneurial Activities,1300,Male,40,2
Wage/Salaries,910,Male,55,1
Wage/Salaries,1580,Male,56,4
Other sources of Income,0,Male,82,1
Wage/Salaries,0,Male,28,1
Wage/Salaries,300,Female,33,2
Other sources of Income,0,Female,48,0
Wage/Salaries,1730,Male,52,3
Enterpreneurial Activities,920,Male,38,1
Enterpreneurial Activities,1325,Male,32,1
Wage/Salaries,255,Male,53,2
Wage/Salaries,0,Male,27,1
Wage/Salaries,0,Male,83,2
Other sources of Income,185,Male,71,0
Other sources of Income,20000,Female,83,0
Wage/Salaries,3120,Female,75,3
Other sources of Income,93820,Female,40,0
Wage/Salaries,840,Male,50,2
Wage/Salaries,10080,Female,61,3
Wage/Salaries,15355,Female,48,2
Wage/Salaries,7570,Male,52,2
Wage/Salaries,316,Female,48,2
Enterpreneurial Activities,0,Male,23,1
Wage/Salaries,6500,Female,69,1
Wage/Salaries,345,Male,45,2
Other sources of Income,0,Female,84,0
Wage/Salaries,485,Female,30,2
Other sources of Income,9300,Male,52,0
Wage/Salaries,4865,Male,48,1
Wage/Salaries,520,Male,35,0
Wage/Salaries,620,Male,77,2
Enterpreneurial Activities,40480,Male,63,2
Other sources of Income,2130,Female,32,0
Wage/Salaries,100,Male,31,1
Other sources of Income,22935,Female,30,0
Other sources of Income,846,Male,41,0
Wage/Salaries,1240,Male,61,2
Wage/Salaries,48100,Male,44,2
Other sources of Income,800,Male,81,0
Wage/Salaries,0,Female,59,1
Wage/Salaries,0,Male,71,4
Other sources of Income,0,Male,30,0
Wage/Salaries,14490,Female,45,2
Other sources of Income,1175,Male,77,0
Other sources of Income,32200,Female,37,0
Wage/Salaries,0,Female,23,2
Wage/Salaries,0,Male,64,2
Wage/Salaries,1290,Male,41,2
Other sources of Income,0,Female,45,0
Wage/Salaries,0,Male,69,2
Other sources of Income,740,Male,61,0
Wage/Salaries,0,Male,66,1
Enterpreneurial Activities,810,Male,43,1
Wage/Salaries,15000,Male,58,1
Wage/Salaries,6470,Male,51,2
Enterpreneurial Activities,650,Male,29,0
Enterpreneurial Activities,245,Male,41,0
Enterpreneurial Activities,39800,Male,62,0
Other sources of Income,380,Female,72,0
Wage/Salaries,650,Male,40,1
Other sources of Income,280,Male,63,1
Wage/Salaries,450,Female,78,2
Wage/Salaries,635,Male,33,1
Wage/Salaries,28600,Male,42,2
Wage/Salaries,0,Male,61,1
Enterpreneurial Activities,1080,Male,54,2
Wage/Salaries,552,Male,46,2
Enterpreneurial Activities,1247,Male,35,0
Wage/Salaries,0,Male,35,1
Other sources of Income,0,Female,72,1
Other sources of Income,930,Male,46,0
Wage/Salaries,0,Male,31,1
Wage/Salaries,860,Male,30,1
Other sources of Income,0,Male,52,2
Wage/Salaries,0,Male,65,2
Other sources of Income,0,Female,61,1
Other sources of Income,1600,Male,35,1
Other sources of Income,0,Female,61,0
Other sources of Income,0,Male,67,0
Wage/Salaries,1010,Male,49,3
Enterpreneurial Activities,750,Male,65,0
Enterpreneurial Activities,0,Male,39,1
Wage/Salaries,0,Male,50,1
Enterpreneurial Activities,23100,Male,60,0
Enterpreneurial Activities,0,Male,63,0
Wage/Salaries,0,Female,64,1
Enterpreneurial Activities,975,Male,66,0
Enterpreneurial Activities,16000,Male,45,0
Wage/Salaries,3820,Male,35,1
Enterpreneurial Activities,16000,Male,46,0
Wage/Salaries,450,Male,42,2
Enterpreneurial Activities,575,Male,54,1
Enterpreneurial Activities,0,Female,72,0
Other sources of Income,0,Male,57,1
Wage/Salaries,9640,Male,38,1
Other sources of Income,0,Female,57,1
Other sources of Income,30200,Female,40,0
Wage/Salaries,5550,Male,52,2
Other sources of Income,1090,Female,76,0
Other sources of Income,300,Female,49,0
Other sources of Income,27800,Female,67,1
Wage/Salaries,0,Male,32,2
Wage/Salaries,11264,Male,54,2
Other sources of Income,0,Female,59,1
Enterpreneurial Activities,0,Female,49,0
Enterpreneurial Activities,0,Male,38,0
Other sources of Income,400,Male,45,1
Other sources of Income,0,Female,61,1
Other sources of Income,35000,Male,58,0
Other sources of Income,2580,Male,49,0
Wage/Salaries,2290,Male,50,2
Enterpreneurial Activities,465,Male,59,1
Enterpreneurial Activities,1930,Male,45,0
Other sources of Income,999,Male,56,0
Wage/Salaries,970,Male,52,3
Wage/Salaries,2007,Male,32,1
Wage/Salaries,10680,Male,52,5
Wage/Salaries,0,Male,65,0
Enterpreneurial Activities,0,Female,64,3
Wage/Salaries,223,Male,36,1
Wage/Salaries,15760,Male,48,3
Wage/Salaries,725,Male,40,1
Wage/Salaries,10213,Male,63,3
Wage/Salaries,0,Male,54,2
Other sources of Income,12780,Female,56,2
Wage/Salaries,900,Male,45,5
Other sources of Income,0,Male,52,1
Enterpreneurial Activities,605,Male,33,1
Wage/Salaries,600,Male,52,7
Wage/Salaries,30,Female,71,1
Wage/Salaries,40,Male,54,2
Wage/Salaries,8080,Male,49,2
Enterpreneurial Activities,0,Male,58,0
Enterpreneurial Activities,13375,Female,37,0
Wage/Salaries,60,Male,30,1
Wage/Salaries,0,Female,77,1
Other sources of Income,98,Male,56,0
Other sources of Income,2320,Male,47,0
Wage/Salaries,0,Male,70,3
Wage/Salaries,1190,Male,52,1
Other sources of Income,0,Male,68,0
Other sources of Income,0,Female,64,0
Other sources of Income,8400,Male,39,1
Other sources of Income,400,Male,45,0
Other sources of Income,1600,Male,65,0
Enterpreneurial Activities,0,Male,58,0
Enterpreneurial Activities,90,Male,38,0
Wage/Salaries,20,Male,51,2
Other sources of Income,0,Male,57,0
Other sources of Income,0,Female,82,0
Wage/Salaries,260,Female,56,4
Wage/Salaries,1610,Male,36,2
Other sources of Income,0,Female,64,0
Enterpreneurial Activities,0,Male,59,1
Other sources of Income,1400,Female,40,0
Enterpreneurial Activities,450,Male,56,0
Wage/Salaries,316,Male,35,1
Wage/Salaries,10300,Male,44,2
Wage/Salaries,1000,Male,59,2
Other sources of Income,0,Male,59,0
Wage/Salaries,200,Male,31,1
Wage/Salaries,0,Male,43,1
Wage/Salaries,8770,Male,57,3
Other sources of Income,150,Male,71,0
Wage/Salaries,9900,Male,50,3
Enterpreneurial Activities,200,Male,53,0
Wage/Salaries,1294,Male,46,2
Wage/Salaries,565,Male,33,1
Wage/Salaries,0,Male,58,2
Wage/Salaries,12650,Male,39,3
Wage/Salaries,100,Male,55,3
Wage/Salaries,1650,Male,39,4
Enterpreneurial Activities,660,Male,40,1
Wage/Salaries,0,Male,42,2
Other sources of Income,120,Male,65,2
Wage/Salaries,0,Male,50,1
Wage/Salaries,6850,Male,41,1
Wage/Salaries,868,Male,38,1
Enterpreneurial Activities,310,Male,61,0
Enterpreneurial Activities,1710,Male,36,0
Wage/Salaries,0,Male,63,2
Other sources of Income,34240,Male,42,0
Wage/Salaries,50,Male,30,1
Wage/Salaries,0,Male,63,1
Enterpreneurial Activities,35,Male,73,1
Other sources of Income,564,Male,42,1
Other sources of Income,247,Male,46,0
Wage/Salaries,60,Male,44,1
Wage/Salaries,1930,Female,44,2
Wage/Salaries,34950,Male,44,1
Wage/Salaries,0,Male,54,4
Wage/Salaries,1520,Male,58,6
Wage/Salaries,30,Male,43,1
Other sources of Income,230,Female,71,0
Wage/Salaries,8240,Female,73,1
Wage/Salaries,940,Male,50,2
Wage/Salaries,0,Male,66,1
Enterpreneurial Activities,674,Female,37,0
Other sources of Income,1594,Male,44,2
Wage/Salaries,2200,Male,43,1
Wage/Salaries,120,Male,38,1
Enterpreneurial Activities,1820,Male,53,1
Wage/Salaries,630,Male,46,1
Wage/Salaries,300,Male,40,1
Wage/Salaries,0,Male,23,4
Other sources of Income,300,Male,51,1
Wage/Salaries,800,Female,72,2
Wage/Salaries,670,Male,78,1
Wage/Salaries,250,Male,47,1
Enterpreneurial Activities,1320,Female,49,1
Other sources of Income,0,Female,70,0
Wage/Salaries,2208,Male,41,2
Wage/Salaries,0,Male,49,3
Wage/Salaries,0,Male,54,1
Other sources of Income,1800,Male,51,0
Wage/Salaries,100,Female,70,3
Other sources of Income,0,Female,67,0
Wage/Salaries,32600,Female,38,2
Wage/Salaries,35829,Male,37,1
Enterpreneurial Activities,540,Male,52,2
Wage/Salaries,29052,Female,47,2
Wage/Salaries,600,Male,53,1
Wage/Salaries,60700,Female,85,6
Enterpreneurial Activities,140500,Female,58,0
Enterpreneurial Activities,102000,Female,46,0
Other sources of Income,0,Male,69,1
Wage/Salaries,485,Male,44,8
Wage/Salaries,526,Male,33,2
Wage/Salaries,0,Male,56,3
Enterpreneurial Activities,43400,Female,42,0
Other sources of Income,320,Male,37,1
Wage/Salaries,900,Male,44,2
Enterpreneurial Activities,52040,Male,47,1
Wage/Salaries,585,Male,59,3
Other sources of Income,970,Female,46,2
Wage/Salaries,640,Male,53,1
Wage/Salaries,420,Female,71,2
Wage/Salaries,0,Male,21,1
Wage/Salaries,0,Male,64,1
Wage/Salaries,45500,Male,46,2
Other sources of Income,850,Female,38,1
Enterpreneurial Activities,0,Male,68,0
Wage/Salaries,81246,Male,50,2
Other sources of Income,67798,Female,52,0
Wage/Salaries,0,Female,61,3
Enterpreneurial Activities,37252,Male,40,1
Wage/Salaries,0,Male,67,1
Wage/Salaries,20220,Male,42,1
Wage/Salaries,16167,Male,42,3
Other sources of Income,31750,Male,64,0
Wage/Salaries,120,Female,44,3
Other sources of Income,29200,Male,53,0
Wage/Salaries,3668,Male,33,1
Wage/Salaries,167017,Male,42,2
Other sources of Income,27540,Male,61,1
Other sources of Income,29800,Male,47,2
Wage/Salaries,0,Female,61,4
Wage/Salaries,10750,Female,55,1
Wage/Salaries,0,Male,28,2
Wage/Salaries,0,Male,68,2
Other sources of Income,3000,Female,29,0
Wage/Salaries,60,Male,50,1
Other sources of Income,0,Female,80,1
Other sources of Income,0,Male,26,1
Wage/Salaries,820,Male,38,2
Other sources of Income,0,Female,79,0
Enterpreneurial Activities,890,Male,37,0
Wage/Salaries,63400,Female,53,2
Enterpreneurial Activities,520,Male,75,1
Wage/Salaries,700,Female,35,1
Wage/Salaries,0,Male,29,1
Wage/Salaries,0,Female,54,4
Wage/Salaries,31400,Male,55,1
Enterpreneurial Activities,18000,Male,69,0
Other sources of Income,31140,Male,77,0
Other sources of Income,0,Male,71,0
Other sources of Income,0,Female,81,0
Wage/Salaries,36150,Male,39,1
Wage/Salaries,0,Male,53,1
Enterpreneurial Activities,0,Female,52,0
Wage/Salaries,0,Male,38,1
Other sources of Income,555,Male,54,0
Other sources of Income,1445,Female,78,0
Wage/Salaries,12100,Male,54,2
Wage/Salaries,14699,Male,65,3
Wage/Salaries,19400,Male,46,1
Other sources of Income,1210,Female,58,3
Wage/Salaries,2420,Male,43,2
Wage/Salaries,1287,Female,49,3
Other sources of Income,150,Female,59,1
Other sources of Income,0,Female,82,0
Wage/Salaries,50,Female,53,1
Wage/Salaries,310,Female,64,2
Wage/Salaries,2067,Male,40,1
Wage/Salaries,0,Female,62,2
Wage/Salaries,640,Female,45,2
Wage/Salaries,0,Female,39,1
Other sources of Income,0,Male,65,0
Other sources of Income,1115,Male,45,1
Wage/Salaries,1150,Male,51,1
Other sources of Income,12525,Female,29,0
Other sources of Income,24780,Male,51,0
Wage/Salaries,15090,Female,49,2
Enterpreneurial Activities,59504,Male,42,0
Wage/Salaries,12300,Male,60,1
Wage/Salaries,38100,Male,55,3
Wage/Salaries,72600,Female,64,2
Enterpreneurial Activities,16099,Female,73,2
Enterpreneurial Activities,66900,Male,54,0
Other sources of Income,14848,Female,66,0
Wage/Salaries,33480,Female,46,3
Wage/Salaries,4750,Male,28,2
Wage/Salaries,0,Female,60,3
Other sources of Income,0,Male,75,2
Wage/Salaries,12550,Male,68,3
Other sources of Income,0,Female,76,0
Wage/Salaries,40850,Male,59,3
Other sources of Income,0,Female,88,1
Wage/Salaries,17314,Female,59,3
Enterpreneurial Activities,11700,Male,48,0
Other sources of Income,31760,Female,56,2
Wage/Salaries,7600,Female,56,1
Wage/Salaries,10548,Male,47,1
Other sources of Income,13184,Female,49,0
Wage/Salaries,150,Female,47,1
Wage/Salaries,0,Male,61,2
Enterpreneurial Activities,0,Female,72,0
Wage/Salaries,0,Male,42,2
Other sources of Income,17820,Male,41,0
Wage/Salaries,550,Female,63,1
Wage/Salaries,29500,Female,53,1
Wage/Salaries,11000,Male,43,2
Wage/Salaries,15375,Male,42,2
Wage/Salaries,0,Male,54,2
Wage/Salaries,260,Male,28,1
Wage/Salaries,43680,Male,56,2
Enterpreneurial Activities,1590,Male,40,0
Wage/Salaries,1670,Male,35,1
Wage/Salaries,5500,Male,35,2
Wage/Salaries,0,Male,66,2
Other sources of Income,49799,Female,34,0
Wage/Salaries,5450,Female,38,2
Wage/Salaries,41650,Male,45,1
Wage/Salaries,1550,Male,38,1
Wage/Salaries,0,Male,34,2
Wage/Salaries,21840,Male,49,4
Other sources of Income,0,Female,62,0
Other sources of Income,0,Male,85,0
Wage/Salaries,61795,Male,47,2
Wage/Salaries,0,Male,20,1
Wage/Salaries,12600,Male,52,4
Wage/Salaries,860,Male,39,1
Other sources of Income,1750,Male,53,0
Wage/Salaries,14380,Male,52,3
Other sources of Income,0,Male,73,0
Wage/Salaries,0,Male,84,3
Wage/Salaries,465,Male,35,1
Enterpreneurial Activities,300,Male,23,0
Wage/Salaries,1080,Male,49,2
Wage/Salaries,0,Female,26,4
Other sources of Income,0,Male,59,2
Enterpreneurial Activities,34719,Male,52,0
Wage/Salaries,50800,Male,55,2
Enterpreneurial Activities,45490,Male,50,1
Wage/Salaries,0,Male,62,4
Wage/Salaries,2100,Male,43,7
Wage/Salaries,39800,Male,55,3
Enterpreneurial Activities,0,Male,69,1
Wage/Salaries,165,Male,65,2
Enterpreneurial Activities,46000,Male,62,1
Wage/Salaries,0,Male,54,1
Wage/Salaries,7120,Male,51,2
Wage/Salaries,0,Male,24,2
Wage/Salaries,20500,Male,53,1
Wage/Salaries,0,Male,33,1
Wage/Salaries,0,Male,53,1
Wage/Salaries,8400,Male,47,2
Wage/Salaries,33300,Female,53,1
Wage/Salaries,0,Male,48,3
Wage/Salaries,1142,Male,36,2
Enterpreneurial Activities,38700,Male,50,0
Wage/Salaries,0,Male,41,6
Wage/Salaries,0,Male,36,1
Wage/Salaries,0,Male,28,1
Wage/Salaries,48800,Female,56,6
Wage/Salaries,36900,Male,52,2
Other sources of Income,0,Female,67,0
Other sources of Income,42500,Female,72,1
Wage/Salaries,18500,Female,66,1
Wage/Salaries,0,Male,62,3
Wage/Salaries,11000,Male,59,1
Wage/Salaries,942,Female,70,1
Other sources of Income,0,Female,81,0
Enterpreneurial Activities,720,Female,55,1
Other sources of Income,2150,Male,33,0
Enterpreneurial Activities,86500,Female,52,3
Wage/Salaries,0,Female,50,3
Enterpreneurial Activities,18340,Male,67,1
Wage/Salaries,898,Male,58,3
Other sources of Income,9400,Male,75,1
Other sources of Income,100,Female,71,0
Wage/Salaries,869,Female,66,1
Other sources of Income,0,Female,79,2
Other sources of Income,0,Female,72,0
Other sources of Income,0,Female,62,0
Other sources of Income,30970,Male,66,1
Other sources of Income,56400,Female,78,0
Wage/Salaries,4050,Male,42,1
Wage/Salaries,12370,Female,67,3
Wage/Salaries,100,Female,48,3
Enterpreneurial Activities,1060,Male,37,1
Other sources of Income,0,Female,58,0
Wage/Salaries,0,Female,67,1
Other sources of Income,870,Male,45,1
Wage/Salaries,25200,Male,53,1
Wage/Salaries,0,Male,58,1
Wage/Salaries,0,Male,30,1
Wage/Salaries,200,Female,70,3
Wage/Salaries,10,Male,37,1
Wage/Salaries,9100,Female,61,1
Wage/Salaries,17950,Male,46,1
Enterpreneurial Activities,400,Male,70,0
Wage/Salaries,0,Female,66,1
Wage/Salaries,0,Male,26,3
Other sources of Income,100,Male,42,1
Wage/Salaries,300,Male,50,2
Wage/Salaries,180,Male,34,1
Wage/Salaries,490,Male,41,1
Wage/Salaries,150,Male,63,2
Wage/Salaries,580,Male,42,1
Other sources of Income,83833,Female,28,3
Wage/Salaries,47832,Male,51,1
Wage/Salaries,15926,Male,54,2
Wage/Salaries,30000,Male,61,2
Wage/Salaries,8273,Female,77,4
Wage/Salaries,31000,Male,55,3
Enterpreneurial Activities,215,Male,69,1
Wage/Salaries,30300,Male,43,3
Wage/Salaries,0,Female,61,3
Wage/Salaries,1500,Male,52,1
Other sources of Income,0,Male,41,1
Enterpreneurial Activities,400,Female,76,0
Wage/Salaries,3180,Male,39,2
Wage/Salaries,13150,Female,72,1
Wage/Salaries,35590,Male,52,3
Wage/Salaries,39300,Male,44,2
Wage/Salaries,11000,Female,39,4
Wage/Salaries,50400,Male,35,2
Other sources of Income,0,Male,87,0
Wage/Salaries,20260,Male,52,3
Wage/Salaries,21900,Male,40,1
Wage/Salaries,6300,Male,53,4
Wage/Salaries,23700,Male,46,2
Wage/Salaries,0,Female,59,1
Wage/Salaries,124040,Male,51,1
Other sources of Income,22820,Male,45,1
Wage/Salaries,7150,Male,58,3
Wage/Salaries,540,Male,45,3
Other sources of Income,0,Female,91,0
Other sources of Income,42900,Female,42,1
Wage/Salaries,27800,Male,54,1
Enterpreneurial Activities,56170,Male,44,2
Enterpreneurial Activities,25270,Male,65,0
Wage/Salaries,180,Female,46,1
Other sources of Income,43000,Male,55,1
Wage/Salaries,55700,Male,55,1
Enterpreneurial Activities,52700,Male,53,0
Wage/Salaries,1670,Male,64,1
Wage/Salaries,885,Male,35,1
Wage/Salaries,0,Female,72,3
Wage/Salaries,825,Male,35,2
Enterpreneurial Activities,300,Male,56,0
Wage/Salaries,0,Female,56,3
Other sources of Income,0,Female,64,0
Enterpreneurial Activities,250,Male,32,0
Other sources of Income,1500,Male,21,1
Enterpreneurial Activities,1230,Female,42,0
Wage/Salaries,520,Female,26,1
Wage/Salaries,110,Male,30,2
Enterpreneurial Activities,350,Male,42,1
Wage/Salaries,1073,Male,49,4
Wage/Salaries,286,Male,30,2
Enterpreneurial Activities,300,Female,55,1
Enterpreneurial Activities,690,Female,44,3
Enterpreneurial Activities,1114,Male,44,0
Other sources of Income,1878,Female,47,2
Enterpreneurial Activities,18000,Male,63,0
Other sources of Income,520,Female,37,0
Wage/Salaries,0,Female,49,3
Wage/Salaries,200,Male,60,0
Wage/Salaries,700,Male,35,1
Wage/Salaries,0,Male,34,0
Enterpreneurial Activities,280,Female,32,0
Wage/Salaries,75,Male,27,1
Enterpreneurial Activities,42800,Male,46,1
Other sources of Income,0,Female,62,1
Wage/Salaries,20700,Male,45,3
Enterpreneurial Activities,0,Female,77,0
Wage/Salaries,9153,Female,38,2
Wage/Salaries,0,Male,31,1
Other sources of Income,73600,Male,28,2
Other sources of Income,111200,Female,48,0
Enterpreneurial Activities,0,Female,47,1
Wage/Salaries,0,Female,55,3
Enterpreneurial Activities,8225,Male,45,0
Wage/Salaries,49180,Male,45,2
Wage/Salaries,48025,Male,60,3
Other sources of Income,510,Male,34,0
Wage/Salaries,3120,Male,53,2
Wage/Salaries,0,Male,27,2
Other sources of Income,0,Female,81,1
Other sources of Income,0,Female,74,0
Wage/Salaries,36565,Male,39,2
Wage/Salaries,127515,Male,52,1
Wage/Salaries,46600,Female,47,3
Wage/Salaries,0,Female,59,3
Other sources of Income,35500,Male,55,0
Wage/Salaries,5000,Male,46,3
Wage/Salaries,5200,Male,33,1
Wage/Salaries,0,Male,51,1
Wage/Salaries,1900,Male,39,2
Wage/Salaries,530,Male,68,1
Wage/Salaries,2300,Male,57,4
Wage/Salaries,0,Female,67,2
Wage/Salaries,20100,Male,38,2
Wage/Salaries,1025,Male,39,1
Wage/Salaries,0,Male,46,2
Wage/Salaries,36250,Male,43,3
Wage/Salaries,0,Female,68,2
Wage/Salaries,700,Male,56,2
Wage/Salaries,0,Male,52,2
Wage/Salaries,0,Female,33,1
Other sources of Income,0,Male,80,0
Wage/Salaries,0,Male,29,1
Other sources of Income,76972,Female,42,1
Wage/Salaries,10886,Male,54,2
Wage/Salaries,1980,Male,39,2
Wage/Salaries,545,Female,54,1
Wage/Salaries,21650,Male,44,2
Other sources of Income,189,Male,39,1
Other sources of Income,6448,Male,53,0
Enterpreneurial Activities,1500,Male,47,0
Other sources of Income,116350,Female,42,0
Wage/Salaries,51675,Male,51,3
Other sources of Income,0,Male,69,0
Wage/Salaries,0,Male,52,5
Other sources of Income,0,Male,63,0
Other sources of Income,969,Female,30,2
Other sources of Income,68280,Male,49,2
Other sources of Income,14223,Male,47,3
Wage/Salaries,42000,Male,62,2
Enterpreneurial Activities,1100,Male,64,0
Wage/Salaries,22150,Male,50,2
Wage/Salaries,990,Male,34,1
Wage/Salaries,1396,Male,45,2
Enterpreneurial Activities,0,Male,56,1
Other sources of Income,37998,Female,55,2
Wage/Salaries,65268,Female,46,2
Other sources of Income,8950,Male,18,0
Wage/Salaries,17370,Male,45,3
Wage/Salaries,0,Female,62,3
Enterpreneurial Activities,0,Male,29,0
Wage/Salaries,1225,Female,42,2
Other sources of Income,90900,Male,44,1
Wage/Salaries,675,Male,34,1
Enterpreneurial Activities,22800,Male,47,2
Wage/Salaries,0,Male,59,4
Wage/Salaries,29724,Female,54,1
Wage/Salaries,85250,Male,48,1
Other sources of Income,118000,Male,50,1
Wage/Salaries,750,Female,37,1
Wage/Salaries,0,Male,27,2
Wage/Salaries,300,Male,65,3
Wage/Salaries,1195,Male,50,5
Enterpreneurial Activities,10615,Male,40,0
Wage/Salaries,600,Male,28,1
Wage/Salaries,125,Male,32,2
Wage/Salaries,36,Female,49,1
Other sources of Income,28150,Male,58,2
Wage/Salaries,0,Male,45,0
Wage/Salaries,206,Male,46,2
Other sources of Income,0,Female,85,0
Enterpreneurial Activities,350,Male,54,1
Wage/Salaries,0,Female,63,1
Enterpreneurial Activities,100,Male,37,0
Enterpreneurial Activities,210,Male,54,0
Enterpreneurial Activities,500,Male,48,0
Other sources of Income,0,Male,57,0
Other sources of Income,379,Male,57,1
Wage/Salaries,1542,Male,64,2
Wage/Salaries,1465,Male,46,3
Enterpreneurial Activities,0,Female,73,0
Wage/Salaries,615,Female,67,4
Wage/Salaries,11492,Male,58,2
Other sources of Income,0,Male,73,0
Other sources of Income,1026,Female,82,0
Wage/Salaries,1142,Male,60,1
Other sources of Income,810,Male,39,0
Wage/Salaries,7000,Male,56,3
Wage/Salaries,2790,Male,58,1
Enterpreneurial Activities,24097,Male,48,1
Wage/Salaries,51746,Male,46,2
Wage/Salaries,375,Male,74,1
Other sources of Income,0,Female,76,0
Wage/Salaries,560,Male,40,2
Wage/Salaries,1400,Male,44,4
Wage/Salaries,830,Male,68,0
Wage/Salaries,680,Male,39,2
Other sources of Income,0,Female,77,1
Wage/Salaries,28800,Male,48,2
Other sources of Income,35900,Female,61,1
Wage/Salaries,0,Male,45,2
Wage/Salaries,15574,Male,43,2
Wage/Salaries,4000,Female,69,2
Other sources of Income,0,Female,75,0
Other sources of Income,0,Male,75,0
Other sources of Income,11000,Female,59,3
Other sources of Income,111150,Male,73,0
Wage/Salaries,7445,Male,38,2
Other sources of Income,6200,Male,86,3
Wage/Salaries,33800,Male,69,2
Wage/Salaries,0,Female,72,2
Wage/Salaries,0,Male,62,3
Wage/Salaries,70,Male,55,5
Wage/Salaries,250,Male,50,3
Wage/Salaries,0,Male,61,2
Wage/Salaries,0,Male,80,3
Wage/Salaries,0,Male,82,1
Other sources of Income,28400,Male,62,0
Wage/Salaries,0,Female,78,2
Wage/Salaries,0,Male,68,1
Wage/Salaries,0,Male,49,0
Wage/Salaries,970,Male,38,2
Enterpreneurial Activities,0,Male,57,1
Other sources of Income,0,Male,72,0
Other sources of Income,0,Female,85,1
Other sources of Income,0,Male,73,0
Enterpreneurial Activities,8995,Male,48,1
Enterpreneurial Activities,570,Male,64,1
Wage/Salaries,0,Male,47,0
Enterpreneurial Activities,20705,Male,37,1
Other sources of Income,190,Male,38,1
Other sources of Income,0,Female,74,1
Other sources of Income,0,Male,70,0
Other sources of Income,250,Female,58,1
Wage/Salaries,270,Male,59,2
Other sources of Income,0,Male,80,0
Other sources of Income,0,Male,63,0
Other sources of Income,0,Female,65,0
Wage/Salaries,445,Male,53,1
Other sources of Income,0,Male,67,0
Wage/Salaries,650,Male,46,1
Wage/Salaries,0,Male,76,2
Other sources of Income,0,Female,60,1
Other sources of Income,0,Male,61,1
Wage/Salaries,3000,Male,53,4
Wage/Salaries,500,Male,56,3
Wage/Salaries,0,Male,57,1
Wage/Salaries,620,Male,28,2
Enterpreneurial Activities,600,Male,43,1
Wage/Salaries,0,Male,33,1
Wage/Salaries,21600,Female,44,1
Wage/Salaries,3565,Male,55,1
Wage/Salaries,50000,Female,43,2
Wage/Salaries,1440,Male,55,3
Other sources of Income,0,Female,40,0
Wage/Salaries,1795,Male,51,2
Wage/Salaries,3431,Male,50,2
Enterpreneurial Activities,0,Male,59,0
Wage/Salaries,45000,Female,56,4
Wage/Salaries,0,Female,34,2
Wage/Salaries,0,Female,29,1
Wage/Salaries,3100,Female,36,1
Wage/Salaries,0,Male,58,1
Wage/Salaries,0,Female,21,1
Other sources of Income,0,Male,37,0
Other sources of Income,1395,Female,61,4
Other sources of Income,3600,Male,44,0
Enterpreneurial Activities,60,Male,59,0
Wage/Salaries,0,Male,26,1
Wage/Salaries,15280,Male,55,3
Wage/Salaries,840,Male,58,1
Other sources of Income,0,Male,71,0
Wage/Salaries,0,Female,82,1
Other sources of Income,50000,Female,60,0
Wage/Salaries,420,Male,51,3
Wage/Salaries,500,Male,54,2
Enterpreneurial Activities,585,Male,39,0
Wage/Salaries,15500,Male,53,4
Wage/Salaries,460,Male,35,3
Wage/Salaries,680,Male,42,1
Wage/Salaries,750,Male,44,1
Other sources of Income,100,Male,71,0
Wage/Salaries,1775,Male,46,3
Wage/Salaries,53355,Male,54,3
Other sources of Income,0,Female,69,0
Other sources of Income,13400,Female,45,2
Wage/Salaries,38600,Male,48,1
Enterpreneurial Activities,0,Female,56,0
Wage/Salaries,30650,Male,56,1
Other sources of Income,13900,Female,37,0
Other sources of Income,4980,Female,80,0
Wage/Salaries,77150,Female,45,2
Wage/Salaries,5200,Female,52,5
Wage/Salaries,500,Male,38,1
Wage/Salaries,2150,Female,54,3
Wage/Salaries,1090,Male,45,2
Wage/Salaries,2150,Male,57,2
Wage/Salaries,735,Male,48,0
Other sources of Income,0,Female,69,0
Wage/Salaries,1380,Male,39,2
Enterpreneurial Activities,600,Male,44,1
